Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Dromey, Brian P; Ahmed, Shahanaz; Vasconcelos, Francisco; Mazomenos, Evangelos; Kunpalin, Yada; Ourselin, Sebastien; Deprest, Jan; David, Anna L; Stoyanov, Danail; Peebles, Donald M; ",Dimensionless squared jerk: An objective differential to assess experienced and novice probe movement in obstetric ultrasound,Prenatal Diagnosis,41,2,271-277,2021,Wiley Online Library
"Hutton, Brian F; Thomas, Benjamin A; Erlandsson, Kjell; Bousse, Alexandre; Reilhac-Laborde, A; Kazantsev, D; Pedemonte, Stefano; Vunckx, K; Arridge, SR; Ourselin, Sebastien; ",What approach to brain partial volume correction is best for PET/MRI?,"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",702,,29-33,2013,Elsevier
"Prados, Ferran; Cardoso, Manuel Jorge; Leung, Kelvin K; Cash, David M; Modat, Marc; Fox, Nick C; Wheeler-Kingshott, Claudia AM; Ourselin, Sebastien; Alzheimer's Disease Neuroimaging Initiative; ",Measuring brain atrophy with a generalized formulation of the boundary shift integral,Neurobiology of aging,36,,S81-S90,2015,Elsevier
"Johnston, Edward William; Allen, Clare; Antonelli, Michela; Dikaios, Nikolaos; Ourselin, Sebastien; Punwani, Shonit; ",Single Slice vs. Volumetric Analysis of Multiparametric Prostate MRI Metrics,,,,,,
"Zuluaga, Maria A; Biffi, Benedetta; Taylor, Andrew M; Schievano, Silvia; Vercauteren, Tom; Ourselin, Sébastien; ",Strengths and pitfalls of whole-heart atlas-based segmentation in congenital heart disease patients,"Reconstruction, Segmentation, and Analysis of Medical Images: First International Workshops, RAMBO 2016 and HVSMR 2016, Held in Conjunction with MICCAI 2016, Athens, Greece, October 17, 2016, Revised Selected Papers 1",,,139-146,2017,Springer
"Bano, Sophia; Vasconcelos, Francisco; Shepherd, Luke M; Vander Poorten, Emmanuel; Vercauteren, Tom; Ourselin, Sebastien; David, Anna L; Deprest, Jan; Stoyanov, Danail; ",Deep placental vessel segmentation for fetoscopic mosaicking,"Medical Image Computing and Computer Assisted Intervention–MICCAI 2020: 23rd International Conference, Lima, Peru, October 4–8, 2020, Proceedings, Part III 23",,,763-773,2020,Springer
"Parker, Christopher S; Deligianni, Fani; Cardoso, M Jorge; Daga, Pankaj; Modat, Marc; Clark, Chris A; Ourselin, Sebastien; Clayden, Jonathan D; ",Consensus between pipelines in whole-brain structural connectivity networks,,,,,,
"Pedemonte, Stefano; Bousse, Alexandre; Hutton, Brian F; Arridge, Simon; Ourselin, Sebastien; ",4-D generative model for PET/MRI reconstruction,"Medical Image Computing and Computer-Assisted Intervention–MICCAI 2011: 14th International Conference, Toronto, Canada, September 18-22, 2011, Proceedings, Part I 14",,,581-588,2011,Springer
"Pinaya, Walter HL; Tudosiu, Petru-Daniel; Gray, Robert; Rees, Geraint; Nachev, Parashkev; Ourselin, Sebastien; Cardoso, M Jorge; ",Unsupervised brain imaging 3d anomaly detection and segmentation with transformers,Medical Image Analysis,79,,102475,2022,Elsevier
"Kwon, Sohee; Joshi, Amit D; Lo, Chun-Han; Drew, David A; Nguyen, Long H; Guo, Chuan-Guo; Ma, Wenjie; Mehta, Raaj S; Shebl, Fatma Mohamed; Warner, Erica T; ",Association of social distancing and face mask use with risk of COVID-19,Nature Communications,12,1,3737,2021,Nature Publishing Group UK London
"Flouri, Dimitra; Darby, Jack RT; Holman, Stacey L; Williams, Georgia K; Ourselin, Sebastien; David, Anna L; Morrison, Janna L; Melbourne, Andrew; ",MRI assessment of placental oxygenation changes in response to maternal hyperoxygenation in a sheep model of human pregnancy,,,,,,
"Sekine, Tetsuro; Burgos, Ninon; Warnock, Geoffrey; Huellner, Martin; Buck, Alfred; Ter Voert, Edwin EGW; Cardoso, M Jorge; Hutton, Brian F; Ourselin, Sebastien; Veit-Haibach, Patrick; ",Multi-atlas–based attenuation correction for brain 18F-FDG PET imaging using a time-of-flight PET/MR scanner: comparison with clinical single-atlas–and CT-based attenuation correction,Journal of Nuclear Medicine,57,8,1258-1264,2016,Soc Nuclear Med
"Markiewicz, Pawel; Schott, Jonathan; Atkinson, David; Arridge, Simon; Hutton, Brian; Ourselin, Sebastien; ",Infrastructure for efficient multi-component uncertainty estimation of SUVR values in amyloid PET imaging,,,,,2016,Soc Nuclear Med
"Fidon, Lucas; Aertsen, Michael; Mufti, Nada; Deprest, Thomas; Emam, Doaa; Guffens, Frédéric; Schwartz, Ernst; Ebner, Michael; Prayer, Daniela; Kasprian, Gregor; ",Distributionally robust segmentation of abnormal fetal brain 3D MRI,"Uncertainty for Safe Utilization of Machine Learning in Medical Imaging, and Perinatal Imaging, Placental and Preterm Image Analysis: 3rd International Workshop, UNSURE 2021, and 6th International Workshop, PIPPI 2021, Held in Conjunction with MICCAI 2021, Strasbourg, France, October 1, 2021, Proceedings 3",,,263-273,2021,Springer
"Reinke, Annika; Tizabi, Minu D; Baumgartner, Michael; Eisenmann, Matthias; Heckmann-Nötzel, Doreen; Kavur, A Emre; Rädsch, Tim; Sudre, Carole H; Acion, Laura; Antonelli, Michela; ",Understanding metric-related pitfalls in image analysis validation,ArXiv,,,,2023,arXiv
"Veiga, C; McClelland, J; Moinuddin, S; Laurenco, A; Ricketts, K; Modat, M; Ourselin, S; D'Souza, D; Royle, GJ; ",Adaptive radiotherapy for head and neck patients: evaluation of a deformable registration-based “dose of the day” calculation,International Journal of Radiation: Oncology-Biology-Physics,,,,2013,
"Downey, Laura E; Mahoney, Colin J; Buckley, Aisling H; Golden, Hannah L; Henley, Susie M; Schmitz, Nicole; Schott, Jonathan M; Simpson, Ivor J; Ourselin, Sebastien; Fox, Nick C; ",White matter tract signatures of impaired social cognition in frontotemporal lobar degeneration,NeuroImage: Clinical,8,,640-651,2015,Elsevier
"McClelland, JR; Hughes, Simon; Modat, M; Qureshi, A; Ahmad, Shahreen; Landau, DB; Ourselin, S; Hawkes, DJ; ",Inter-fraction variations in respiratory motion models,Physics in Medicine & Biology,56,1,251,2010,IOP Publishing
"Bataille, V; Visconti, A; Rossi, N; Murray, B; Bournot, A; Wolf, J; Ourselin, S; Steves, C; Spector, T; Falchi, M; ",Diagnostic value of skin manifestation of SARS-CoV-2 infection,,,,,2020,
"Wylezinska-Arridge, Marzena; White, Mark J; Davagnanam, Indran; Cardoso, M Jorge; Vos, Sjoerd B; Ourselin, Sebastien; Ciccarelli, Olga; Yousry, Tarek; Thornton, John; ",Capturing clinical MRI complexity: a first step towards realizing the maximum research value of neuroradiological MRI.,Proc. Intl. Soc. Mag. Reson. Med,24,,0090,2016,
"Ismail, Ozama; Holmes, Holly; Colgan, Niall; Ma, Da; Wells, Jack A; Powell, Nicholas M; O'Callaghan, James M; Harrison, Ian F; Walker-Samuel, Simon; Cardoso, Jorge M; ",IC‐P‐158: A multiscale MRI approach to investigate novel drug treatment strategies in mouse models of Alzheimer's disease,Alzheimer's & Dementia,11,7S_Part_2,P106-P107,2015,Wiley Online Library
"Johnston, WE; Bonet-Carne, Elisenda; Pye, Hayley; Clemente, Joey; Yvernault, Ben; Patel, Dominic; Heavey, Susan; Appayya, Mrishta B; Saborowska, Alexandra; Sridhar, Ashwin; ",Microstructural Diffusion-Weighted (VERDICT) MRI Metrics are Repeatable and Show Potential at Characterising Gleason 7 Prostate Cancer Non-Invasively,The International Society for Magnetic Resonance in Medicine,,,,2017,
"Hütel, Michael; Melbourne, Andrew; Thomas, David L; Rohrer, Jonathan; Ourselin, Sebastien; ",The hidden heart rate in the slice-wise BOLD-fMRI global signal.,,,,,,
"Sinclair, B; Modat, M; Cleary, JO; Norris, FC; Wiseman, F; Fisher, EMC; Lythgoe, MF; Ourselin, S; ",Automated tensor based morphometry for phenotyping the Tc1 mouse model of Down syndrome.,,,,,,
"Roth, Holger R; McClelland, Jamie R; Boone, Darren J; Modat, Marc; Jorge Cardoso, M; Hampshire, Thomas E; Hu, Mingxing; Punwani, Shonit; Ourselin, Sebastien; Slabaugh, Greg G; ",Registration of the endoluminal surfaces of the colon derived from prone and supine CT colonography,Medical Physics,38,6Part1,3077-3089,2011,Wiley Online Library
"Gruijthuijsen, Caspar; Colchester, Richard; Devreker, Alain; Javaux, Allan; Maneas, Efthymios; Noimark, Sacha; Xia, Wenfeng; Stoyanov, Danail; Reynaerts, Dominiek; Deprest, Jan; ",Haptic guidance based on all-optical ultrasound distance sensing for safer minimally invasive fetal surgery,Journal of medical robotics research,3,03n04,1841001,2018,World Scientific
"Pedemonte, S; Cardoso, MJ; Bousse, A; Panagiotou, C; Kazantsev, D; Arridge, S; Hutton, BF; Ourselin, S; ",Class conditional entropic prior for MRI enhanced SPECT reconstruction,IEEE Nuclear Science Symposuim & Medical Imaging Conference,,,3292-3300,2010,IEEE
"Kazantsev, D; Ourselin, Sebastien; Hutton, Brian F; Lionheart, W; Arridge, Simon; ",A novel method of embedding additional information into tensor diffusion filtering as an application for multi-modal reconstruction in ET,,,,,2013,
"Meeter, Lieke HH; Gendron, Tania F; Sias, Ana C; Jiskoot, Lize C; Graff, Caroline; Boxer, Adam L; Sánchez‐Valle, Raquel; Pijnenburg, Yolande AL; Benussi, Luisa; Ghidoni, Roberta; ",[O4–02–02]: POLY‐GP DIPEPTIDE REPEATS AND NEUROFILAMENT LIGHT CHAIN AS BIOMARKERS IN PRESYMPTOMATIC AND SYMPTOMATIC FRONTOTEMPORAL DEMENTIA CAUSED BY C9ORF72 REPEAT EXPANSIONS,Alzheimer's & Dementia,13,7S_Part_,1128-1229,2017,Wiley
"Samson, Rebecca Sara; Cardoso, Manuel J; Muhlert, Nils; Sethi, Varun; Yaldizli, Özgür; Ron, Maria A; Prados, Ferran; Ourselin, Sebastian; Miller, David H; Wheeler-Kingshott, Claudia AM Gandini; ",Investigation of outer and inner cerebellar MTR abnormalities in different MS clinical subtypes,Proc. Intl. Soc. Mag. Reson. Med,25,,0219,2017,
"Chan, Andrew T; Drew, David A; Nguyen, Long H; Joshi, Amit D; Ma, Wenjie; Guo, Chuan-Guo; Lo, Chun-Han; Mehta, Raaj S; Kwon, Sohee; Sikavi, Daniel R; ",The COronavirus Pandemic Epidemiology (COPE) consortium: a call to action,"Cancer Epidemiology, Biomarkers & Prevention",29,7,1283-1289,2020,AACR
"Xie, Yijing; Ebner, Michael; Wykes, Victoria; Miserocchi, Anna; McEvoy, Andrew W; Ourselin, Sébastien; Vercauteren, Tom; ",Spatial Regularisation based Reconstruction of Quantitative Fluorescence Imaging,Optical Tomography and Spectroscopy,,,JTu3A. 8,2018,Optica Publishing Group
"Andrews, KA; Modat, M; Macdonald, KE; Yeatman, T; Cardoso, MJ; ",Atrophy Rates in Asymptomatic Amyloidosis: Implications for Alzheimer,,,,,2013,
"Louca, Panayiotis; Murray, Benjamin; Klaser, Kerstin; Graham, Mark S; Mazidi, Mohsen; Leeming, Emily R; Thompson, Ellen; Bowyer, Ruth; Drew, David A; Nguyen, Long H; ",Dietary supplements during the COVID-19 pandemic: insights from 1.4 M users of the COVID Symptom Study app-a longitudinal app-based community survey,medRxiv,,,2020.11. 27.20239087,2020,Cold Spring Harbor Laboratory Press
"Dorent, Reuben; Li, Wenqi; Ekanayake, Jinendra; Ourselin, Sebastien; Vercauteren, Tom; ",Learning joint lesion and tissue segmentation from task-specific hetero-modal datasets,International Conference on Medical Imaging with Deep Learning,,,164-174,2019,PMLR
"Jurcak, Valer; Fripp, Jurgen; Engstrom, Craig; Walker, Duncan; Salvado, Olivier; Ourselin, Sébastien; Crozier, Stuart; ",Atlas based automated segmentation of the quadratus lumborum muscle using non-rigid registration on magnetic resonance images of the thoracolumbar region,2008 5th IEEE International Symposium on Biomedical Imaging: From Nano to Macro,,,113-116,2008,IEEE
"Drew, David A; Nguyen, Long H; Ma, Wenjie; Lo, Chun-Han; Joshi, Amit D; Sikavi, Daniel; Astley, Christina M; Lee, Karla; Lochlainn, Mary Ni; Gomez, Maria; ",Abstract S09-01: Cancer and race: Two important risk factors for COVID-19 incidence as captured by the COVID Symptom Study real-time epidemiology tool,Clinical Cancer Research,26,18_Supplement,S09-01-S09-01,2020,AACR
"Melbourne, Andrew; Pratt, Rosalind; Hutchinson, Ciaran; Arthurs, Owen; Sebire, Neil J; Vercauteren, Tom; David, Anna L; Ourselin, Sebastien; ","Quantitative analysis of the three dimensional fetoplacental vascular tree in normal, term placenta",Placenta,57,,239-240,2017,WB Saunders Ltd
"Sparks, Rachel; Zombori, Gergely; Rodionov, Roman; Zuluaga, Maria A; Diehl, Beate; Wehner, Tim; Miserocchi, Anna; McEvoy, Andrew W; Duncan, John S; Ourselin, Sebastien; ",Efficient anatomy driven automated multiple trajectory planning for intracranial electrode implantation,"Medical Image Computing and Computer-Assisted Intervention–MICCAI 2016: 19th International Conference, Athens, Greece, October 17-21, 2016, Proceedings, Part I",,,542-550,2016,Springer
"Sudre, Carole H; Cardoso, M Jorge; Ourselin, Sebastien; Alzheimer’s Disease Neuroimaging Initiative; ",Longitudinal segmentation of age-related white matter hyperintensities,Medical Image Analysis,38,,50-64,2017,Elsevier
"Wells, Philippa M; Doores, Katie J; Couvreur, Simon; Nunez, Rocio Martinez; Seow, Jeffrey; Graham, Carl; Acors, Sam; Kouphou, Neophytos; Neil, Stuart JD; Tedder, Richard S; ",Estimates of the rate of infection and asymptomatic COVID-19 disease in a population sample from SE England,Journal of Infection,81,6,931-936,2020,Elsevier
"Blaiotta, Claudia; Freund, Patrick; Curt, Armin; Cardoso, MJ; Ashburner, John; ",A probabilistic framework to learn average shaped tissue templates and its application to spinal cord image segmentation,"Proceedings of the 24th Annual Meeting of ISMRM, Singapore",1449,,,2016,
"Samson, Rebecca Sara; Cardoso, Manuel Jorge; Brownlee, Wallace J; Brown, WJL; Pardini, Matteo; Ourselin, Sebastian; Wheeler-Kingshott, CAM; Chard, DT; ",Outer and inner cortical MTR abnormalities observed in clinically isolated syndromes,,,,,2016,International Society for Magnetic Resonance in Medicine
"Canas, Liane S; Molteni, Erika; Deng, Jie; Sudre, Carole H; Murray, Benjamin; Kerfoot, Eric; Antonelli, Michela; Chen, Liyuan; Rjoob, Khaled; Pujol, Joan Capdevila; ",Profiling post-COVID syndrome across different variants of SARS-CoV-2,medRxiv,,,2022.07. 28.22278159,2022,Cold Spring Harbor Laboratory Press
"Powell, Nick M; Modat, Marc; Cardoso, M Jorge; Ma, Da; Holmes, Holly E; Yu, Yichao; O’Callaghan, James; Cleary, Jon O; Sinclair, Ben; Wiseman, Frances K; ",Fully-automated μMRI morphometric phenotyping of the Tc1 mouse model of Down syndrome,PLoS One,11,9,e0162974,2016,"Public Library of Science San Francisco, CA USA"
"Fidon, Lucas; Aertsen, Michael; Shit, Suprosanna; Demaerel, Philippe; Ourselin, Sébastien; Deprest, Jan; Vercauteren, Tom; ",Partial supervision for the feta challenge 2021,arXiv preprint arXiv:2111.02408,,,,2021,
"Cash, David M; Rohrer, Jonathan D; Ryan, Natalie S; Ourselin, Sebastien; Fox, Nick C; ",Imaging endpoints for clinical trials in Alzheimer’s,,,,,2014,
"Bergeles, Christos; Dubis, Adam M; Davidson, Benjamin; Kasilian, Melissa; Kalitzeos, Angelos; Carroll, Joseph; Dubra, Alfredo; Michaelides, Michel; Ourselin, Sebastien; ",Unsupervised identification of cone photoreceptors in non-confocal adaptive optics scanning light ophthalmoscope images,Biomedical optics express,8,6,3081-3094,2017,Optica Publishing Group
"Sobotka, Daniel; Ebner, Michael; Schwartz, Ernst; Nenning, Karl-Heinz; Taymourtash, Athena; Vercauteren, Tom; Ourselin, Sebastien; Kasprian, Gregor; Prayer, Daniela; Langs, Georg; ",Motion correction and volumetric reconstruction for fetal functional magnetic resonance imaging data,NeuroImage,255,,119213,2022,Elsevier
"Slattery, Catherine F; Zhang, Jiaying; Paterson, Ross W; Foulkes, Alexander JM; Mancini, Laura; Thomas, David L; Modat, Marc; Toussaint, Nicolas; Cash, David M; Thornton, John S; ",[IC‐P‐168]: LONGITUDINAL NEURITE ORIENTATION DISPERSION AND DENSITY IMAGING IN YOUNG‐ONSET ALZHEIMER'S DISEASE,Alzheimer's & Dementia,13,7S_Part_2,P127-P127,2017,Wiley Online Library
"Prados, Ferran; Nikitichev, DI; Vercauteren, T; Ourselin, S; ",Patient-Specific 3D Printable Anatomical Brain Models from a Web App,Hawaii USA: ISMRM,,,,2017,
"Chappell, Joanna; Mufti, Nada; O'Brien, Patrick; Attilakos, George; Sokolska, Magda; Narayanan, Priya; Aughwane, Rosalind; Kendall, Giles; Atkinson, David; Ourselin, Sebastien; ",Quantifiable study of magnetic resonance super resolution reconstruction in Placenta Accreta Spectrum using Image Quality Metrics,,,,,,
"Jacob, Joseph; Bartholmai, Brian J; Rajagopalan, Srinivasan; Van Moorsel, Coline HM; Van Es, Hendrik W; Van Beek, Frouke T; Struik, Marjolijn HL; Kokosi, Maria; Egashira, Ryoko; Brun, Anne Laure; ",Predicting outcomes in idiopathic pulmonary fibrosis using automated computed tomographic analysis,American journal of respiratory and critical care medicine,198,6,767-776,2018,American Thoracic Society
"Guerreiro, Filipa; McClelland, Jamie R; Dunlop, A; Burgos, Ninon; Cardoso, M Jorge; Wong, K; Nill, Simeon; Oelfke, Uwe; Knopf, Antje; ",Evaluation of different approaches to obtain synthetic CT images for a MRI-only radiotherapy workflow,3rd MR in RT Symposium,,,,2016,
"Lorenzi, Marco; Simpson, Ivor; Mendelson, Alexander; Cardoso, Jorge M; Modat, Marc; Ourselin, Sebastien; ",P3‐004: Voxel‐based statistical multimodal model of brain atrophy and hypometabolism in Alzheimer's disease,Alzheimer's & Dementia,11,7S_Part_13,P620-P621,2015,Wiley Online Library
"Cardoso, M Jorge; Clarkson, Matt; Ourselin, Sébastien; ",NiftySeg,"School of Biomedical Engineering & Imaging Sciences, KCL",,,,2020,
"Ridgway, GR; Whitcher, Brandon; Nichols, Thomas; Ourselin, Sébastien; Hill, Derek; Fox, Nick; ",Longitudinal multivariate tensor-and searchlight-based morphometry using permutation testing,,,,,2008,
"Zhao, Tianrui; Ourselin, Sébastien; Vercauteren, Tom; Xia, Wenfeng; ",Miniaturized transparent ultrasound sensor for photoacoustic endoscopy,Photons Plus Ultrasound: Imaging and Sensing 2022,11960,,46-50,2022,SPIE
"Giles, Dominic; Xu, Tianbo; Foulon, Chris; Gray, Robert; Ourselin, Sebastien; Cardoso, Jorge; Jäger, Hans Rolf; Rees, Geraint; Jha, Ashwani; Nachev, Parashkev; ",Individualised prescriptive inference in ischaemic stroke,arXiv preprint arXiv:2301.10748,,,,2023,
"Melbourne, Andrew; Pratt, Rosalind; Sokolska, Magdalena; Owen, David; Bainbridge, Alan; Atkinson, David; Kendall, Giles; Deprest, Jan; Vercauteren, Tom; David, Anna; ",Separation of fetal and maternal circulations using multi-modal MRI,Placenta,57,,291-291,2017,Elsevier
"Ourselin, Sébastien; Modat, Marc; ",Biomedical Image Registration,,,,,2014,Springer
"Mertzanidou, Thomy; Hipwell, John; Cardoso, M Jorge; Zhang, Xiying; Tanner, Christine; Ourselin, Sebastien; Bick, Ulrich; Huisman, Henkjan; Karssemeijer, Nico; Hawkes, David; ",MRI to X-ray mammography registration using a volume-preserving affine transformation,Medical image analysis,16,5,966-975,2012,Elsevier
"Zhang, Jiaying; Slattery, Catherine F; Paterson, Ross W; Foulkes, Alexander JM; Mancini, Laura; Thomas, David L; Modat, Marc; Toussaint, Nicolas; Cash, David M; Thornton, John S; ",Neurite Orientation Dispersion and Density Imaging (NODDI) in Young Onset Alzheimer's Disease and Its Syndromic Variants,,,,,2016,
"Le, Hoang DK; Li, Rongxin; Ourselin, Sébastien; Potter, John M; ",ITKBoard: A visual dataflow language for biomedical image processing,International Conference on Software and Data Technologies,2,,13-21,2007,SCITEPRESS
"Thomas, Jewell B; Brier, Matthew R; Bateman, Randall J; Snyder, Abraham Z; Benzinger, Tammie L; Xiong, Chengjie; Raichle, Marcus; Holtzman, David M; Sperling, Reisa A; Mayeux, Richard; ",Functional connectivity in autosomal dominant and late-onset Alzheimer disease,JAMA neurology,71,9,1111-1122,2014,American Medical Association
"Haddow, Lewis J; Godi, Claudia; Sokolska, Magdalena; Cardoso, M Jorge; Oliver, Ruth; Winston, Alan; Stöhr, Wolfgang; Clarke, Amanda; Chen, Fabian; Williams, Ian G; ","Brain perfusion, regional volumes, and cognitive function in human immunodeficiency virus–positive patients treated with protease inhibitor monotherapy",Clinical Infectious Diseases,68,6,1031-1040,2019,Oxford University Press US
"Wang, Lei; Yushkevich, Paul; Ourselin, Sebastien; ",Novel Imaging Biomarkers for Alzheimer's Disease and Related Disorders (NIBAD),NEUROBIOLOGY OF AGING,36,,S1-S2,2015,ELSEVIER SCIENCE INC
"Sudre, Carole H; Cardoso, M Jorge; Ourselin, Sébastien; ",Bilayered anatomically constrained split-and-merge expectation maximisation algorithm (BiASM) for brain segmentation,Medical Imaging 2014: Image Processing,9034,,254-260,2014,SPIE
"Fidon, Lucas; Ourselin, Sébastien; Vercauteren, Tom; ",SGD with hardness weighted sampling for distributionally robust deep learning,arXiv preprint arXiv:2001.02658,,,,2020,
"Vakharia, Vejay N; Smith, Luke; Tahir, Zubair; Sparks, Rachel; Ourselin, Sebastien; Tucker, Stewart; Thompson, Dominic; ",Occipitocervical instrumented fixation utilising patient-specific C2 3D-printed spinal screw trajectory guides in complex paediatric skeletal dysplasia,Child's Nervous System,37,8,2643-2650,2021,Springer
"Kinnunen, KM; Cash, DM; Poole, T; Frost, C; Benzinger, TLS; Ahsan, RL; Leung, KK; Cardoso, MJ; Modat, M; Malone, IB; ",[Accepted Manuscript] Presymptomatic atrophy in autosomal dominant Alzheimer's disease: A serial MRI study.,Alzheimer's & dementia,,,,2017,Elsevier
"Grussu, Francesco; Battiston, Marco; Prados Carrasco, F; Schneider, Torben; Kaden, Enrico; Ourselin, Sébastien; Samson, R; Alexander, D; Wheeler-Kingshott, C; ",A unified signal readout for reproducible multimodal characterisation of brain microstructure,Proceedings of the International Society for Magnetic Resonance in Medicine (ISMRM),2017,,p3399,2017,
"Kinnunen, Kirsi; Cash, David; Liang, Yuying; Leung, Kelvin; Cardoso, Jorge; Modat, Marc; Malone, Ian; Yeatman, Tom; Nicholas, Jennifer; Benzinger, Tammie; ",P2‐226: Cross‐sectional cerebral volumetric differences and associations with estimated time to age‐at‐onset in familial Alzheimer’s disease: Findings from the DIAN study,,,,,2012,"Wiley Periodicals, Inc."
